"Brenden Aaronson","usUSA","FW,MF","Leeds United","engPremier League","25-039","2000","8.8","223","201","19","3","2","0","15","5","0","0","0","0","178","3","7",
"Jones El-Abdellaoui","maMAR","MF,FW","Celta Vigo","esLa Liga","19-322","2006","1.3","56","48","8","0","0","0","11","7","0","0","0","0","40","0","5",
"Himad Abdelli","dzALG","MF","Angers","frLigue 1","26-013","1999","7.9","454","428","26","11","3","1","8","5","5","4","1","0","389","0","7",
"Ali Abdi","tnTUN","DF,MF","Nice","frLigue 1","31-345","1993","3.6","96","76","20","3","0","0","6","17","0","0","0","0","71","0","6",
"Salis Abdul Samed","ghGHA","MF","Nice","frLigue 1","25-249","2000","4.6","200","195","5","5","1","0","1","0","0","0","0","0","185","0","2",
"Saud Abdulhamid","saKSA","DF","Lens","frLigue 1","26-135","1999","2.3","134","116","18","0","0","0","8","18","0","0","0","0","108","0","3",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","32-302","1993","11.5","726","681","42","37","1","3","2","0","0","0","0","0","633","3","7",
"Matthis Abline","frFRA","FW,MF","Nantes","frLigue 1","22-247","2003","10.9","175","173","2","0","0","1","13","0","0","0","0","0","117","0","10",
"Abner","brBRA","DF","Lyon","frLigue 1","25-187","2000","6.0","269","226","42","4","1","1","8","37","1","0","0","0","223","1","6",
"Zakaria Aboukhlal","maMAR","FW,MF","Torino","itSerie A","25-285","2000","1.6","29","27","2","0","0","0","3","1","0","0","0","0","19","0","1",
"Abdel Abqar","maMAR","DF","Getafe","esLa Liga","26-265","1999","6.5","198","186","12","10","0","8","1","2","0","0","0","0","140","0","1",
"Francis Abu","ghGHA","MF","Toulouse","frLigue 1","24-217","2001","5.8","238","234","4","4","0","1","0","0","0","0","0","0","197","0","3",
"Giorgi Abuashvili","geGEO","FW,MF","Metz","frLigue 1","22-295","2003","3.1","120","106","14","1","2","2","15","5","8","4","3","0","96","0","2",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","37-293","1988","7.8","512","504","8","6","0","0","1","0","0","0","0","0","487","0","3",
"Ragnar Ache","deGER","FW","Köln","deBundesliga","27-125","1998","4.6","86","80","6","0","0","0","0","0","0","0","0","0","55","0","2",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","19-209","2006","3.9","296","284","12","7","0","0","0","1","0","0","0","0","273","0","2",
"Akor Adams","ngNGA","FW","Sevilla","esLa Liga","25-305","2000","6.5","103","96","7","0","0","0","5","0","0","0","0","0","59","0","7",
